title,authors,narrators
The Son: A Novel,['Jo Nesb�'],['Gildart Jackson']
The Complete Stories of Sherlock Holmes,['Arthur Conan Doyle'],['Charlton Griffin']
The Coming Storm,['Michael Lewis'],['Michael Lewis']
Darkest Hour: How Churchill Brought England Back from the Brink,['Anthony McCarten'],['John Lee']
How Will I Know You?: A Novel,['Jessica Treadway'],"['Ryan Vincent Anderson', 'Christopher Ryan Grant', 'Cynthia Farrell', 'Lauren Fortgang', 'Caitlin Kelly']"
The Old Man,['Thomas Perry'],['Peter Berkrot']
The Bonfire of the Vanities,['Tom Wolfe'],['Joe Barrett']
Great Mythologies of the World,"['The Great Courses', 'Grant L. Voth', 'Julius H. Bailey', 'Kathryn McClymond', 'Robert Andr� LaFleur']","['Grant L. Voth', 'Julius H. Bailey', 'Kathryn McClymond', 'Robert Andr� LaFleur']"
"How to Listen to and Understand Great Music, 3rd Edition","['Robert Greenberg', 'The Great Courses']",['Robert Greenberg']
Origin Story: A Big History of Everything,['David Christian'],['Jamie Jackson']
Alias Grace,['Margaret Atwood'],"['Margaret Atwood', 'Sarah Gadon']"
"Reinventing American Health Care: How the Affordable Care Act Will Improve Our Terribly Complex, Blatantly Unjust, Outrageously Expensive, Grossly Inefficient, Error Prone System",['Ezekiel J. Emanuel'],['William Dufris']
War on Peace: The End of Diplomacy and the Decline of American Influence,['Ronan Farrow'],['Ronan Farrow']
The Irony of American History,['Reinhold Niebuhr'],['Robert Blumenfeld']
"A Study in Scarlet Women: The Lady Sherlock Series, Book 1",['Sherry Thomas'],['Kate Reading']
Russian Roulette,"['David Corn', 'Michael Isikoff']",['Peter Ganim']
Maisie Dobbs,['Jacqueline Winspear'],['Rita Barrington']
Sapiens: A Brief History of Humankind,['Yuval Noah Harari'],['Derek Perkins']
Once a Crooked Man,['David McCallum'],['David McCallum']
Justice,['Michael J. Sandel'],['Michael J. Sandel']
The World Is Flat: Further Updated and Expanded,['Thomas L. Friedman'],['Oliver Wyman']
Democracy in Chains: The Deep History of the Radical Right's Stealth Plan for America,['Nancy MacLean'],['Bernadette Dunne']
The Coming Storm,['Michael Lewis'],['Michael Lewis']
Darkest Hour: How Churchill Brought England Back from the Brink,['Anthony McCarten'],['John Lee']
How Will I Know You?: A Novel,['Jessica Treadway'],"['Ryan Vincent Anderson', 'Christopher Ryan Grant', 'Cynthia Farrell', 'Lauren Fortgang', 'Caitlin Kelly']"
The Old Man,['Thomas Perry'],['Peter Berkrot']
The Bonfire of the Vanities,['Tom Wolfe'],['Joe Barrett']
Great Mythologies of the World,"['The Great Courses', 'Grant L. Voth', 'Julius H. Bailey', 'Kathryn McClymond', 'Robert Andr� LaFleur']","['Grant L. Voth', 'Julius H. Bailey', 'Kathryn McClymond', 'Robert Andr� LaFleur']"
"How to Listen to and Understand Great Music, 3rd Edition","['Robert Greenberg', 'The Great Courses']",['Robert Greenberg']
Origin Story: A Big History of Everything,['David Christian'],['Jamie Jackson']
Alias Grace,['Margaret Atwood'],"['Margaret Atwood', 'Sarah Gadon']"
"Reinventing American Health Care: How the Affordable Care Act Will Improve Our Terribly Complex, Blatantly Unjust, Outrageously Expensive, Grossly Inefficient, Error Prone System",['Ezekiel J. Emanuel'],['William Dufris']
War on Peace: The End of Diplomacy and the Decline of American Influence,['Ronan Farrow'],['Ronan Farrow']
The Irony of American History,['Reinhold Niebuhr'],['Robert Blumenfeld']
"A Study in Scarlet Women: The Lady Sherlock Series, Book 1",['Sherry Thomas'],['Kate Reading']
Russian Roulette,"['David Corn', 'Michael Isikoff']",['Peter Ganim']
Maisie Dobbs,['Jacqueline Winspear'],['Rita Barrington']
Sapiens: A Brief History of Humankind,['Yuval Noah Harari'],['Derek Perkins']
Once a Crooked Man,['David McCallum'],['David McCallum']
Justice,['Michael J. Sandel'],['Michael J. Sandel']
The World Is Flat: Further Updated and Expanded,['Thomas L. Friedman'],['Oliver Wyman']
Democracy in Chains: The Deep History of the Radical Right's Stealth Plan for America,['Nancy MacLean'],['Bernadette Dunne']
The Coming Storm,['Michael Lewis'],['Michael Lewis']
Darkest Hour: How Churchill Brought England Back from the Brink,['Anthony McCarten'],['John Lee']
How Will I Know You?: A Novel,['Jessica Treadway'],"['Ryan Vincent Anderson', 'Christopher Ryan Grant', 'Cynthia Farrell', 'Lauren Fortgang', 'Caitlin Kelly']"
The Old Man,['Thomas Perry'],['Peter Berkrot']
The Bonfire of the Vanities,['Tom Wolfe'],['Joe Barrett']
Great Mythologies of the World,"['The Great Courses', 'Grant L. Voth', 'Julius H. Bailey', 'Kathryn McClymond', 'Robert Andr� LaFleur']","['Grant L. Voth', 'Julius H. Bailey', 'Kathryn McClymond', 'Robert Andr� LaFleur']"
"How to Listen to and Understand Great Music, 3rd Edition","['Robert Greenberg', 'The Great Courses']",['Robert Greenberg']
Origin Story: A Big History of Everything,['David Christian'],['Jamie Jackson']
Alias Grace,['Margaret Atwood'],"['Margaret Atwood', 'Sarah Gadon']"
"Reinventing American Health Care: How the Affordable Care Act Will Improve Our Terribly Complex, Blatantly Unjust, Outrageously Expensive, Grossly Inefficient, Error Prone System",['Ezekiel J. Emanuel'],['William Dufris']
War on Peace: The End of Diplomacy and the Decline of American Influence,['Ronan Farrow'],['Ronan Farrow']
The Irony of American History,['Reinhold Niebuhr'],['Robert Blumenfeld']
"A Study in Scarlet Women: The Lady Sherlock Series, Book 1",['Sherry Thomas'],['Kate Reading']
Russian Roulette,"['David Corn', 'Michael Isikoff']",['Peter Ganim']
Maisie Dobbs,['Jacqueline Winspear'],['Rita Barrington']
Sapiens: A Brief History of Humankind,['Yuval Noah Harari'],['Derek Perkins']
Once a Crooked Man,['David McCallum'],['David McCallum']
Justice,['Michael J. Sandel'],['Michael J. Sandel']
The World Is Flat: Further Updated and Expanded,['Thomas L. Friedman'],['Oliver Wyman']
Democracy in Chains: The Deep History of the Radical Right's Stealth Plan for America,['Nancy MacLean'],['Bernadette Dunne']
The Coming Storm,['Michael Lewis'],['Michael Lewis']
Darkest Hour: How Churchill Brought England Back from the Brink,['Anthony McCarten'],['John Lee']
How Will I Know You?: A Novel,['Jessica Treadway'],"['Ryan Vincent Anderson', 'Christopher Ryan Grant', 'Cynthia Farrell', 'Lauren Fortgang', 'Caitlin Kelly']"
The Old Man,['Thomas Perry'],['Peter Berkrot']
The Bonfire of the Vanities,['Tom Wolfe'],['Joe Barrett']
Great Mythologies of the World,"['The Great Courses', 'Grant L. Voth', 'Julius H. Bailey', 'Kathryn McClymond', 'Robert Andr� LaFleur']","['Grant L. Voth', 'Julius H. Bailey', 'Kathryn McClymond', 'Robert Andr� LaFleur']"
"How to Listen to and Understand Great Music, 3rd Edition","['Robert Greenberg', 'The Great Courses']",['Robert Greenberg']
Origin Story: A Big History of Everything,['David Christian'],['Jamie Jackson']
Alias Grace,['Margaret Atwood'],"['Margaret Atwood', 'Sarah Gadon']"
"Reinventing American Health Care: How the Affordable Care Act Will Improve Our Terribly Complex, Blatantly Unjust, Outrageously Expensive, Grossly Inefficient, Error Prone System",['Ezekiel J. Emanuel'],['William Dufris']
War on Peace: The End of Diplomacy and the Decline of American Influence,['Ronan Farrow'],['Ronan Farrow']
The Irony of American History,['Reinhold Niebuhr'],['Robert Blumenfeld']
"A Study in Scarlet Women: The Lady Sherlock Series, Book 1",['Sherry Thomas'],['Kate Reading']
Russian Roulette,"['David Corn', 'Michael Isikoff']",['Peter Ganim']
Maisie Dobbs,['Jacqueline Winspear'],['Rita Barrington']
Sapiens: A Brief History of Humankind,['Yuval Noah Harari'],['Derek Perkins']
Once a Crooked Man,['David McCallum'],['David McCallum']
Justice,['Michael J. Sandel'],['Michael J. Sandel']
The World Is Flat: Further Updated and Expanded,['Thomas L. Friedman'],['Oliver Wyman']
Democracy in Chains: The Deep History of the Radical Right's Stealth Plan for America,['Nancy MacLean'],['Bernadette Dunne']
The Coming Storm,['Michael Lewis'],['Michael Lewis']
Darkest Hour: How Churchill Brought England Back from the Brink,['Anthony McCarten'],['John Lee']
How Will I Know You?: A Novel,['Jessica Treadway'],"['Ryan Vincent Anderson', 'Christopher Ryan Grant', 'Cynthia Farrell', 'Lauren Fortgang', 'Caitlin Kelly']"
The Old Man,['Thomas Perry'],['Peter Berkrot']
The Bonfire of the Vanities,['Tom Wolfe'],['Joe Barrett']
Great Mythologies of the World,"['The Great Courses', 'Grant L. Voth', 'Julius H. Bailey', 'Kathryn McClymond', 'Robert Andr� LaFleur']","['Grant L. Voth', 'Julius H. Bailey', 'Kathryn McClymond', 'Robert Andr� LaFleur']"
"How to Listen to and Understand Great Music, 3rd Edition","['Robert Greenberg', 'The Great Courses']",['Robert Greenberg']
Origin Story: A Big History of Everything,['David Christian'],['Jamie Jackson']
Alias Grace,['Margaret Atwood'],"['Margaret Atwood', 'Sarah Gadon']"
"Reinventing American Health Care: How the Affordable Care Act Will Improve Our Terribly Complex, Blatantly Unjust, Outrageously Expensive, Grossly Inefficient, Error Prone System",['Ezekiel J. Emanuel'],['William Dufris']
War on Peace: The End of Diplomacy and the Decline of American Influence,['Ronan Farrow'],['Ronan Farrow']
The Irony of American History,['Reinhold Niebuhr'],['Robert Blumenfeld']
"A Study in Scarlet Women: The Lady Sherlock Series, Book 1",['Sherry Thomas'],['Kate Reading']
Russian Roulette,"['David Corn', 'Michael Isikoff']",['Peter Ganim']
Maisie Dobbs,['Jacqueline Winspear'],['Rita Barrington']
Sapiens: A Brief History of Humankind,['Yuval Noah Harari'],['Derek Perkins']
Once a Crooked Man,['David McCallum'],['David McCallum']
Justice,['Michael J. Sandel'],['Michael J. Sandel']
The World Is Flat: Further Updated and Expanded,['Thomas L. Friedman'],['Oliver Wyman']
Democracy in Chains: The Deep History of the Radical Right's Stealth Plan for America,['Nancy MacLean'],['Bernadette Dunne']
The Coming Storm,['Michael Lewis'],['Michael Lewis']
Darkest Hour: How Churchill Brought England Back from the Brink,['Anthony McCarten'],['John Lee']
How Will I Know You?: A Novel,['Jessica Treadway'],"['Ryan Vincent Anderson', 'Christopher Ryan Grant', 'Cynthia Farrell', 'Lauren Fortgang', 'Caitlin Kelly']"
The Old Man,['Thomas Perry'],['Peter Berkrot']
The Bonfire of the Vanities,['Tom Wolfe'],['Joe Barrett']
Great Mythologies of the World,"['The Great Courses', 'Grant L. Voth', 'Julius H. Bailey', 'Kathryn McClymond', 'Robert Andr� LaFleur']","['Grant L. Voth', 'Julius H. Bailey', 'Kathryn McClymond', 'Robert Andr� LaFleur']"
"How to Listen to and Understand Great Music, 3rd Edition","['Robert Greenberg', 'The Great Courses']",['Robert Greenberg']
Origin Story: A Big History of Everything,['David Christian'],['Jamie Jackson']
Alias Grace,['Margaret Atwood'],"['Margaret Atwood', 'Sarah Gadon']"
"Reinventing American Health Care: How the Affordable Care Act Will Improve Our Terribly Complex, Blatantly Unjust, Outrageously Expensive, Grossly Inefficient, Error Prone System",['Ezekiel J. Emanuel'],['William Dufris']
War on Peace: The End of Diplomacy and the Decline of American Influence,['Ronan Farrow'],['Ronan Farrow']
The Irony of American History,['Reinhold Niebuhr'],['Robert Blumenfeld']
"A Study in Scarlet Women: The Lady Sherlock Series, Book 1",['Sherry Thomas'],['Kate Reading']
Russian Roulette,"['David Corn', 'Michael Isikoff']",['Peter Ganim']
Maisie Dobbs,['Jacqueline Winspear'],['Rita Barrington']
Sapiens: A Brief History of Humankind,['Yuval Noah Harari'],['Derek Perkins']
Once a Crooked Man,['David McCallum'],['David McCallum']
Justice,['Michael J. Sandel'],['Michael J. Sandel']
The World Is Flat: Further Updated and Expanded,['Thomas L. Friedman'],['Oliver Wyman']
Democracy in Chains: The Deep History of the Radical Right's Stealth Plan for America,['Nancy MacLean'],['Bernadette Dunne']
The Coming Storm,['Michael Lewis'],['Michael Lewis']
Darkest Hour: How Churchill Brought England Back from the Brink,['Anthony McCarten'],['John Lee']
How Will I Know You?: A Novel,['Jessica Treadway'],"['Ryan Vincent Anderson', 'Christopher Ryan Grant', 'Cynthia Farrell', 'Lauren Fortgang', 'Caitlin Kelly']"
The Old Man,['Thomas Perry'],['Peter Berkrot']
The Bonfire of the Vanities,['Tom Wolfe'],['Joe Barrett']
Great Mythologies of the World,"['The Great Courses', 'Grant L. Voth', 'Julius H. Bailey', 'Kathryn McClymond', 'Robert Andr� LaFleur']","['Grant L. Voth', 'Julius H. Bailey', 'Kathryn McClymond', 'Robert Andr� LaFleur']"
"How to Listen to and Understand Great Music, 3rd Edition","['Robert Greenberg', 'The Great Courses']",['Robert Greenberg']
Origin Story: A Big History of Everything,['David Christian'],['Jamie Jackson']
Alias Grace,['Margaret Atwood'],"['Margaret Atwood', 'Sarah Gadon']"
"Reinventing American Health Care: How the Affordable Care Act Will Improve Our Terribly Complex, Blatantly Unjust, Outrageously Expensive, Grossly Inefficient, Error Prone System",['Ezekiel J. Emanuel'],['William Dufris']
War on Peace: The End of Diplomacy and the Decline of American Influence,['Ronan Farrow'],['Ronan Farrow']
The Irony of American History,['Reinhold Niebuhr'],['Robert Blumenfeld']
"A Study in Scarlet Women: The Lady Sherlock Series, Book 1",['Sherry Thomas'],['Kate Reading']
Russian Roulette,"['David Corn', 'Michael Isikoff']",['Peter Ganim']
Maisie Dobbs,['Jacqueline Winspear'],['Rita Barrington']
Sapiens: A Brief History of Humankind,['Yuval Noah Harari'],['Derek Perkins']
Once a Crooked Man,['David McCallum'],['David McCallum']
Justice,['Michael J. Sandel'],['Michael J. Sandel']
The World Is Flat: Further Updated and Expanded,['Thomas L. Friedman'],['Oliver Wyman']
Democracy in Chains: The Deep History of the Radical Right's Stealth Plan for America,['Nancy MacLean'],['Bernadette Dunne']
