title,authors,narrators
State of Terror: A Novel,"['Louise Penny', 'Hillary Rodham Clinton']",['Joan Allen']
Money: The True Story of a Made-Up Thing,['Jacob Goldstein'],['Jacob Goldstein']
High Stakes,['Iris Johansen'],['Elisabeth Rodgers']
"Murder in First Class: A Miss Underhay Mystery, Book 8",['Helena Dixon'],['Karen Cass']
"The Willow Marsh Murder: Detective Lavender Mysteries Series, Book 6",['Karen Charlton'],['Michael Page']
Heathcliff Lennox - France 1918,['Karen Baugh Menuhin'],['Sam Dewhurst -Phillips']
"The Monks Hood Murders: A 1920s Easter Murder Mystery (Heathcliff Lennox, Book 5)",['Karen Baugh Menuhin'],['Sam Dewhurst-Phillips']
Trace Elements,['Donna Leon'],['David Colacci']
The Rose Code: A Novel,['Kate Quinn'],['Saskia Maarleveld']
The Unheard: A Novel,['Nicci French'],['Olivia Vinall']
The Stranger,['Albert Camus'],['Jonathan Davis']
"The Curse of Braeburn Castle: Halloween Murders at a Scottish Castle: Heathcliff Lennox, Book 3",['Karen Menuhin'],['Sam Dewhurst-Phillips']
The Murderer's Son: A Jackman and Evans Thriller,['Joy Ellis'],['Richard Armitage']
The Morning Star,['Karl Ove Knausgaard'],"['Alyssa Bresnahan', 'Edoardo Ballerini', 'Elisabeth Rodgers', 'Graham Winton', 'Hannah Cabell', 'Leah Horowitz', 'Mia Barron', 'Michael Braun', 'Michael Crouch']"
Her Second Death: A Short Story (Bree Taggert),['Melinda Leigh'],['Christina Traister']
The Kingdom: A Novel,"['Robert Ferguson - Translator', 'Jo Nesb�']",['Euan Morton']
Origins: How Earth's History Shaped Human History,['Lewis Dartnell'],['John Sackville']
We Keep the Dead Close: A Murder at Harvard and a Half Century of Silence,['Becky Cooper'],['Becky Cooper']
Third Party,['Brandi Reeds'],['Christina Traister']
Appleseed: A Novel,['Matt Bell'],['Mark Bramhall']
Pastoral Song,['James Rebanks'],['Peter Noble']
When We Cease to Understand the World,"['Benjamin Labatut', 'Adrian West - translator']",['Adam Barr']
The Odyssey of Homer,"['Elizabeth Vandiver', 'The Great Courses']",['Elizabeth Vandiver']
The Fire Next Time,['James Baldwin'],['Jesse L. Martin']
Unto Us a Son Is Given,['Donna Leon'],['David Colacci']
The Huntress: A Novel,['Kate Quinn'],['Saskia Maarleveld']
"An Irish Hostage: A Novel (Bess Crawford Mysteries, Book 12)",['Charles Todd'],['Rosalyn Landor']
Shades of Twilight,['Linda Howard'],['Natalie Ross']
Local Woman Missing,['Mary Kubica'],"['Brittany Pressley', 'Jennifer Jill Araya', 'Gary Tiedemann', 'Jesse Vilinsky']"
Peril,"['Bob Woodward', 'Robert Costa']",['Robert Petkoff']
"Beautiful World, Where Are You: A Novel",['Sally Rooney'],['Aoife McMahon']
Find You First: A Novel,['Linwood Barclay'],['George Newbern']
Land: How the Hunger for Ownership Shaped the Modern World,['Simon Winchester'],['Simon Winchester']
The March of Folly: From Troy to Vietnam,['Barbara W. Tuchman'],['Wanda McCaddon']
The Afghanistan Papers: A Secret History of the War,"['Craig Whitlock', 'The Washington Post']",['Dan Bittner']
The Devil May Dance: A Novel,['Jake Tapper'],['Rob Shapiro']
Raven Black: Book One of the Shetland Island Quartet,['Ann Cleeves'],['Gordon Griffin']
"The Disordered Cosmos: A Journey into Dark Matter, Spacetime, and Dreams Deferred",['Chanda Prescod-Weinstein'],['Joniece Abbott-Pratt']
The Martian Chronicles,['Ray Bradbury'],['Mark Boyett']
"The Black Echo: Special Edition: Harry Bosch, Book 1",['Michael Connelly'],['Titus Welliver']
Prisoners of Geography: Ten Maps That Explain Everything About the World,['Tim Marshall'],['Scott Brick']
A Banquet of Consequences: A Lynley Novel,['Elizabeth George'],['John Lee']
